hisse,fark,adet2,tks2,tip,donem,yukleme
QUAGR,17535487,168983189,1771950000,yabanci,2026_01,2026-04-18 13:52
SISE,17349200,204593491,1814922730,yabanci,2026_01,2026-04-18 13:52
EKGYO,16822445,502227361,1925107366,yabanci,2026_01,2026-04-18 13:52
AGROT,15457337,31190420,843999770,yabanci,2026_01,2026-04-18 13:52
SRVGY,15383214,65117604,806067999,yabanci,2026_01,2026-04-18 13:52
GARAN,15100127,209072982,2454854227,yabanci,2026_01,2026-04-18 13:52
FROTO,14621437,216980292,625120847,yabanci,2026_01,2026-04-18 13:52
MAVI,14605550,181384008,576779312,yabanci,2026_01,2026-04-18 13:52
BORLS,14362599,14546242,308652686,yabanci,2026_01,2026-04-18 13:52
LIDFA,14062782,30692281,458180545,yabanci,2026_01,2026-04-18 13:52
RYGYO,13640894,302149379,770588057,yabanci,2026_01,2026-04-18 13:52
HALKB,13614592,45116032,6546422780,yabanci,2026_01,2026-04-18 13:52
ANSGR,13020546,147913426,1564416026,yabanci,2026_01,2026-04-18 13:52
DOHOL,12881970,224329706,984706959,yabanci,2026_01,2026-04-18 13:52
ALVES,12372274,12428951,862856920,yabanci,2026_01,2026-04-18 13:52
ASTOR,12212550,174490690,366896261,yabanci,2026_01,2026-04-18 13:52
SKBNK,11415509,124877176,2498879854,yabanci,2026_01,2026-04-18 13:52
AKFGY,11236668,153281204,3457819315,yabanci,2026_01,2026-04-18 13:52
DAPGM,10626658,97782571,928276145,yabanci,2026_01,2026-04-18 13:52
TSPOR,8584676,24561389,3674526664,yabanci,2026_01,2026-04-18 13:52
ULKER,8361855,56808723,338855989,yabanci,2026_01,2026-04-18 13:52
SARKY,7607733,55062204,999999671,yabanci,2026_01,2026-04-18 13:52
BJKAS,7443711,105952420,1776089716,yabanci,2026_01,2026-04-18 13:52
MAGEN,7347539,89084916,719512140,yabanci,2026_01,2026-04-18 13:52
HLGYO,7242975,48843618,1075198516,yabanci,2026_01,2026-04-18 13:52
ULUFA,7106444,10155470,305352801,yabanci,2026_01,2026-04-18 13:52
ALBRK,7013443,198475336,1050739765,yabanci,2026_01,2026-04-18 13:52
AKGRT,6815738,158719745,629007625,yabanci,2026_01,2026-04-18 13:52
TUKAS,6600280,180337860,4499995929,yabanci,2026_01,2026-04-18 13:52
AGHOL,6342789,250063103,1068828243,yabanci,2026_01,2026-04-18 13:52
CVKMD,6023406,35532305,461999787,yabanci,2026_01,2026-04-18 13:52
DARDL,5736771,16345339,1753442695,yabanci,2026_01,2026-04-18 13:52
IHGZT,5231567,5245860,570666228,yabanci,2026_01,2026-04-18 13:52
AKFYE,5067364,149890066,551782160,yabanci,2026_01,2026-04-18 13:52
ISKPL,5029489,49083521,724625736,yabanci,2026_01,2026-04-18 13:52
ENSRI,4774368,9316422,236333503,yabanci,2026_01,2026-04-18 13:52
TUREX,4752104,9256325,432000000,yabanci,2026_01,2026-04-18 13:52
DOAS,4485698,21332135,97899975,yabanci,2026_01,2026-04-18 13:52
ALARK,4342232,18334265,164975148,yabanci,2026_01,2026-04-18 13:52
TAVHL,4212268,119608223,213213415,yabanci,2026_01,2026-04-18 13:52
PSGYO,4164800,26530353,2954231556,yabanci,2026_01,2026-04-18 13:52
SEGMN,4047461,4141300,80999980,yabanci,2026_01,2026-04-18 13:52
OZGYO,3954619,6686074,490916869,yabanci,2026_01,2026-04-18 13:52
METRO,3921101,3944120,539989959,yabanci,2026_01,2026-04-18 13:52
ISDMR,3920868,23535195,147623050,yabanci,2026_01,2026-04-18 13:52
KATMR,3841948,74320481,1980989998,yabanci,2026_01,2026-04-18 13:52
PATEK,3709459,16138728,293081892,yabanci,2026_01,2026-04-18 13:52
TRMET,3700322,49765921,174454588,yabanci,2026_01,2026-04-18 13:52
MEGMT,3562905,5578373,72749999,yabanci,2026_01,2026-04-18 13:52
AHSGY,3339202,16034339,184999889,yabanci,2026_01,2026-04-18 13:52
EGEPO,3254839,7106479,200000000,yabanci,2026_01,2026-04-18 13:52
TOASO,3254321,27362999,120585076,yabanci,2026_01,2026-04-18 13:52
RYSAS,3200923,855389089,1504020937,yabanci,2026_01,2026-04-18 13:52
